Texture X_SE_Poster_HeroOne

	Base1 TheaterPoster_HeroOne
		Blend none
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1.0
		AmbientScale 1.0
	End
End


Texture X_SE_Poster_CasinoHeist

	Base1 TheaterPoster_CasinoHeist
	Base1Scroll 0 0
	Base1ScrollType  Normal
	Base1Scale  1 1

	Multiply1 white
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal
	Multiply1Scale  1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none
	DualColor1Scroll 0 0
	DualColor1ScrollType  Normal
	DualColor1Scale  1 1

	BumpMap1 none
	BumpMap1Scroll 0 0
	BumpMap1ScrollType  Normal
	BumpMap1Scale  1 1

	AddGlow1 none
	AddGlow1Scroll 0 0
	AddGlow1ScrollType  Normal
	AddGlow1Scale  1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 1

	Mask none
	MaskScroll 0 0
	MaskScrollType  Normal
	MaskScale  1 1
	MaskWeight  1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 none
	Base2Scroll 0 0
	Base2ScrollType  Normal
	Base2Scale  1 1

	Multiply2 none
	Multiply2Scroll 0 0
	Multiply2ScrollType  Normal
	Multiply2Scale  1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none
	DualColor2Scroll 0 0
	DualColor2ScrollType  Normal
	DualColor2Scale  1 1

	BumpMap2 none
	BumpMap2Scroll 0 0
	BumpMap2ScrollType  Normal
	BumpMap2Scale  1 1

	// CubeMap
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 200 200 200
	SpecularColor2 200 200 200 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 8
	SpecularExponent2 2

	DiffuseScale 1
	AmbientScale 2

	Flags AlwaysAddGlow   // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none
		BumpMap none
		Blend none
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1.0
		AmbientScale 1.0
	End
End


Texture X_SE_Poster_CasinoHeist_Chick

	Base1 CasinoHeist_Chick_Poster
	Base1Scroll 0 0
	Base1ScrollType  Normal
	Base1Scale  1 1

	Multiply1 white
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal
	Multiply1Scale  1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none
	DualColor1Scroll 0 0
	DualColor1ScrollType  Normal
	DualColor1Scale  1 1

	BumpMap1 none
	BumpMap1Scroll 0 0
	BumpMap1ScrollType  Normal
	BumpMap1Scale  1 1

	AddGlow1 none
	AddGlow1Scroll 0 0
	AddGlow1ScrollType  Normal
	AddGlow1Scale  1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 1

	Mask none
	MaskScroll 0 0
	MaskScrollType  Normal
	MaskScale  1 1
	MaskWeight  1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 none
	Base2Scroll 0 0
	Base2ScrollType  Normal
	Base2Scale  1 1

	Multiply2 none
	Multiply2Scroll 0 0
	Multiply2ScrollType  Normal
	Multiply2Scale  1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none
	DualColor2Scroll 0 0
	DualColor2ScrollType  Normal
	DualColor2Scale  1 1

	BumpMap2 none
	BumpMap2Scroll 0 0
	BumpMap2ScrollType  Normal
	BumpMap2Scale  1 1

	// CubeMap
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 200 200 200
	SpecularColor2 200 200 200 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 8
	SpecularExponent2 2

	DiffuseScale 1
	AmbientScale 2

	Flags AlwaysAddGlow   // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none
		BumpMap none
		Blend none
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1.0
		AmbientScale 1.0
	End
End

Texture X_SE_Poster_CasinoHeist_Beefcake

	Base1 CasinoHeist_BeefCake_Poster
	Base1Scroll 0 0
	Base1ScrollType  Normal
	Base1Scale  1 1

	Multiply1 white
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal
	Multiply1Scale  1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none
	DualColor1Scroll 0 0
	DualColor1ScrollType  Normal
	DualColor1Scale  1 1

	BumpMap1 none
	BumpMap1Scroll 0 0
	BumpMap1ScrollType  Normal
	BumpMap1Scale  1 1

	AddGlow1 none
	AddGlow1Scroll 0 0
	AddGlow1ScrollType  Normal
	AddGlow1Scale  1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 1

	Mask none
	MaskScroll 0 0
	MaskScrollType  Normal
	MaskScale  1 1
	MaskWeight  1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 none
	Base2Scroll 0 0
	Base2ScrollType  Normal
	Base2Scale  1 1

	Multiply2 none
	Multiply2Scroll 0 0
	Multiply2ScrollType  Normal
	Multiply2Scale  1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none
	DualColor2Scroll 0 0
	DualColor2ScrollType  Normal
	DualColor2Scale  1 1

	BumpMap2 none
	BumpMap2Scroll 0 0
	BumpMap2ScrollType  Normal
	BumpMap2Scale  1 1

	// CubeMap
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 200 200 200
	SpecularColor2 200 200 200 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 8
	SpecularExponent2 2

	DiffuseScale 1
	AmbientScale 2

	Flags AlwaysAddGlow   // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none
		BumpMap none
		Blend none
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1.0
		AmbientScale 1.0
	End
End


Texture X_SE_Poster_CasinoHeist_Kid

	Base1 CasinoHeist_Kid_Poster.tga
	Base1Scroll 0 0
	Base1ScrollType  Normal
	Base1Scale  1 1

	Multiply1 white
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal
	Multiply1Scale  1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none
	DualColor1Scroll 0 0
	DualColor1ScrollType  Normal
	DualColor1Scale  1 1

	BumpMap1 none
	BumpMap1Scroll 0 0
	BumpMap1ScrollType  Normal
	BumpMap1Scale  1 1

	AddGlow1 none
	AddGlow1Scroll 0 0
	AddGlow1ScrollType  Normal
	AddGlow1Scale  1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 1

	Mask none
	MaskScroll 0 0
	MaskScrollType  Normal
	MaskScale  1 1
	MaskWeight  1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 none
	Base2Scroll 0 0
	Base2ScrollType  Normal
	Base2Scale  1 1

	Multiply2 none
	Multiply2Scroll 0 0
	Multiply2ScrollType  Normal
	Multiply2Scale  1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none
	DualColor2Scroll 0 0
	DualColor2ScrollType  Normal
	DualColor2Scale  1 1

	BumpMap2 none
	BumpMap2Scroll 0 0
	BumpMap2ScrollType  Normal
	BumpMap2Scale  1 1

	// CubeMap
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 200 200 200
	SpecularColor2 200 200 200 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 8
	SpecularExponent2 2

	DiffuseScale 1
	AmbientScale 2

	Flags AlwaysAddGlow   // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none
		BumpMap none
		Blend none
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1.0
		AmbientScale 1.0
	End
End

Texture X_SE_Poster_CasinoHeist_RedTie

	Base1 CasinoHeist_RedTie_Poster.tga
	Base1Scroll 0 0
	Base1ScrollType  Normal
	Base1Scale  1 1

	Multiply1 white
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal
	Multiply1Scale  1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none
	DualColor1Scroll 0 0
	DualColor1ScrollType  Normal
	DualColor1Scale  1 1

	BumpMap1 none
	BumpMap1Scroll 0 0
	BumpMap1ScrollType  Normal
	BumpMap1Scale  1 1

	AddGlow1 none
	AddGlow1Scroll 0 0
	AddGlow1ScrollType  Normal
	AddGlow1Scale  1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 1

	Mask none
	MaskScroll 0 0
	MaskScrollType  Normal
	MaskScale  1 1
	MaskWeight  1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 none
	Base2Scroll 0 0
	Base2ScrollType  Normal
	Base2Scale  1 1

	Multiply2 none
	Multiply2Scroll 0 0
	Multiply2ScrollType  Normal
	Multiply2Scale  1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none
	DualColor2Scroll 0 0
	DualColor2ScrollType  Normal
	DualColor2Scale  1 1

	BumpMap2 none
	BumpMap2Scroll 0 0
	BumpMap2ScrollType  Normal
	BumpMap2Scale  1 1

	// CubeMap
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 200 200 200
	SpecularColor2 200 200 200 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 8
	SpecularExponent2 2

	DiffuseScale 1
	AmbientScale 2

	Flags AlwaysAddGlow   // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none
		BumpMap none
		Blend none
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1.0
		AmbientScale 1.0
	End
End

Texture X_SE_Poster_Ascension

	Base1 TheaterPoster_Ascension
	Base1Scroll 0 0
	Base1ScrollType  Normal
	Base1Scale  1 1

	Multiply1 white
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal
	Multiply1Scale  1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none
	DualColor1Scroll 0 0
	DualColor1ScrollType  Normal
	DualColor1Scale  1 1

	BumpMap1 none
	BumpMap1Scroll 0 0
	BumpMap1ScrollType  Normal
	BumpMap1Scale  1 1

	AddGlow1 none
	AddGlow1Scroll 0 0
	AddGlow1ScrollType  Normal
	AddGlow1Scale  1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 1

	Mask none
	MaskScroll 0 0
	MaskScrollType  Normal
	MaskScale  1 1
	MaskWeight  1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 none
	Base2Scroll 0 0
	Base2ScrollType  Normal
	Base2Scale  1 1

	Multiply2 none
	Multiply2Scroll 0 0
	Multiply2ScrollType  Normal
	Multiply2Scale  1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none
	DualColor2Scroll 0 0
	DualColor2ScrollType  Normal
	DualColor2Scale  1 1

	BumpMap2 none
	BumpMap2Scroll 0 0
	BumpMap2ScrollType  Normal
	BumpMap2Scale  1 1

	// CubeMap
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 200 200 200
	SpecularColor2 200 200 200 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 8
	SpecularExponent2 2

	DiffuseScale 1
	AmbientScale 2

	Flags AlwaysAddGlow   // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none
		BumpMap none
		Blend none
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1.0
		AmbientScale 1.0
	End
End

Texture X_SE_Poster_MyUserDave

	Base1 TheaterPoster_MyUserDave.tga
	Base1Scroll 0 0
	Base1ScrollType  Normal
	Base1Scale  1 1

	Multiply1 white
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal
	Multiply1Scale  1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none
	DualColor1Scroll 0 0
	DualColor1ScrollType  Normal
	DualColor1Scale  1 1

	BumpMap1 none
	BumpMap1Scroll 0 0
	BumpMap1ScrollType  Normal
	BumpMap1Scale  1 1

	AddGlow1 none
	AddGlow1Scroll 0 0
	AddGlow1ScrollType  Normal
	AddGlow1Scale  1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 1

	Mask none
	MaskScroll 0 0
	MaskScrollType  Normal
	MaskScale  1 1
	MaskWeight  1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 none
	Base2Scroll 0 0
	Base2ScrollType  Normal
	Base2Scale  1 1

	Multiply2 none
	Multiply2Scroll 0 0
	Multiply2ScrollType  Normal
	Multiply2Scale  1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none
	DualColor2Scroll 0 0
	DualColor2ScrollType  Normal
	DualColor2Scale  1 1

	BumpMap2 none
	BumpMap2Scroll 0 0
	BumpMap2ScrollType  Normal
	BumpMap2Scale  1 1

	// CubeMap
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 200 200 200
	SpecularColor2 200 200 200 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 8
	SpecularExponent2 2

	DiffuseScale 1
	AmbientScale 2

	Flags AlwaysAddGlow   // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none
		BumpMap none
		Blend none
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1.0
		AmbientScale 1.0
	End
End

Texture X_SE_Poster_DreamUnicorns

	Base1 TheaterPoster_DreamUnicorns
	Base1Scroll 0 0
	Base1ScrollType  Normal
	Base1Scale  1 1

	Multiply1 white
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal
	Multiply1Scale  1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none
	DualColor1Scroll 0 0
	DualColor1ScrollType  Normal
	DualColor1Scale  1 1

	BumpMap1 none
	BumpMap1Scroll 0 0
	BumpMap1ScrollType  Normal
	BumpMap1Scale  1 1

	AddGlow1 none
	AddGlow1Scroll 0 0
	AddGlow1ScrollType  Normal
	AddGlow1Scale  1 1
	AddGlowMat2  0 //<- applies the addglow effect to the second material instead of the first material
	AddGlowTint 1

	Mask none
	MaskScroll 0 0
	MaskScrollType  Normal
	MaskScale  1 1
	MaskWeight  1
	AlphaMask 0 //Optional flag indicating to use the ALPHA channel
	             // of the Mask texture instead of all 4 channels

	Base2 none
	Base2Scroll 0 0
	Base2ScrollType  Normal
	Base2Scale  1 1

	Multiply2 none
	Multiply2Scroll 0 0
	Multiply2ScrollType  Normal
	Multiply2Scale  1 1
	Multiply2Reflect 0 // Optional flag indicating this is a spheremap

	DualColor2 none
	DualColor2Scroll 0 0
	DualColor2ScrollType  Normal
	DualColor2Scale  1 1

	BumpMap2 none
	BumpMap2Scroll 0 0
	BumpMap2ScrollType  Normal
	BumpMap2Scale  1 1

	// CubeMap
	// ReflectivityBase 1
	// ReflectivityScale 1
	// ReflectivityPower 1
	reflectionTint 0
	ReflectionDesaturate 0

	SpecularColor1 200 200 200
	SpecularColor2 200 200 200 // BLACK means inherit color from SpecularColor1
	SpecularExponent1 8
	SpecularExponent2 2

	DiffuseScale 1
	AmbientScale 2

	Flags AlwaysAddGlow   // NoRandomAddGlow FullBright AlwaysAddGlow OldTint
	AlphaWater 0
	MinAddGlow 0
	MaxAddGlow 1

	Color3 255 255 255 // Color tint for DualColor2, black inherits from colors 1 and 2
	Color4 255 255 255

	Fallback
		UseFallback 0
		Base none
		BumpMap none
		Blend none
		BlendType Multiply
		ScaleST0 1.0 1.0
		ScaleST1 1.0 1.0
		DiffuseScale 1.0
		AmbientScale 1.0
	End
End

Texture X_SE_Poster_DFB

	Base1 TheaterPoster_DFB
	Base1Scroll 0 0
	Base1ScrollType  Normal
	Base1Scale  1 1

	Multiply1 white
	Multiply1Scroll 0 0 // 0 0
	Multiply1ScrollType  Normal
	Multiply1Scale  1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 none
	DualColor1Scroll 0 0
	DualColor1ScrollType  Normal
	DualColor1Scale  1 1

