Texture X_Olympian_Emblem_01
	Base1 Emblem_Olympian_01
	Mask Glove_Olympian_01_Reflect
	MaskScroll 0 0
	MaskScrollType Normal
	MaskScale 1 1
	MaskWeight 0.25
	AlphaMask 0	// Optional flag indicating to use the ALPHA channel
			// of the Mask texture instead of all 4 channels

	Base2 Glove_Olympian_01
	Base2Scroll 0 0
	Base2ScrollType Normal
	Base2Scale 1 1

	Multiply2 Shader_Reflect_Chrome_01
	Multiply2Scroll 0.0 0
	Multiply2ScrollType Normal
	Multiply2Scale .25 .25
	Multiply2Reflect  1 // Optional flag indicating this is a spheremap

	DualColor2 Glove_Olympian_01_Mask
	DualColor2Scroll 0 0
	DualColor2ScrollType Normal
	DualColor2Scale 1 1

	BumpMap2 Glove_Olympian_01_Bump
	BumpMap2Scroll 0 0
	BumpMap2ScrollType Normal
	BumpMap2Scale 1 1

	ReflectionDesaturate  1
	ReflectionTint  1
	ReflectivityBase 0.5
	ReflectivityScale 0.7
	ReflectivityPower 3.0

	SpecularColor1 250 230 255
	SpecularColor2 200 200 230
	SpecularExponent1 80
	SpecularExponent2 80

End

Texture X_Olympian_Boot_01
	Base1 Boot_V_Olympian_01
	Base1Scroll 0 0
	Base1ScrollType Normal
	Base1Scale 1 1

	Multiply1 NONE
	Multiply1Scroll 0 0
	Multiply1ScrollType Normal
	Multiply1Scale 1 1
	Multiply1Reflect 0 // Optional flag indicating this is a spheremap

	DualColor1 Boot_V_Olympian_01_Mask
	DualColor1Scroll 0 0
	DualColor1ScrollType Normal
	DualColor1Scale 1 1

	BumpMap1 Boot_V_Olympian_01_Bump
	BumpMap1Scroll 0 0
	BumpMap1ScrollType Normal
	BumpMap1Scale 1 1

	Mask Boot_V_Olympian_01_Reflect
	MaskScroll 0 0
	MaskScrollType Normal
	MaskScale 1 1
	MaskWeight 0.25
	AlphaMask 0	// Optional flag indicating to use the ALPHA channel
			// of the Mask texture instead of all 4 channels

	Base2 Boot_V_Olympian_01
	Base2Scroll 0 0
	Base2ScrollType Normal
	Base2Scale 1 1

	Multiply2 Shader_Reflect_Chrome_01
	Multiply2Scroll 0.0 0
	Multiply2ScrollType Normal
	Multiply2Scale .25 .25
	Multiply2Reflect  1 // Optional flag indicating this is a spheremap

	DualColor2 Boot_V_Olympian_01_Mask
	DualColor2Scroll 0 0
	DualColor2ScrollType Normal
	DualColor2Scale 1 1

	BumpMap2 Boot_V_Olympian_01_Bump
	BumpMap2Scroll 0 0
	BumpMap2ScrollType Normal
	BumpMap2Scale 1 1

	ReflectionDesaturate  1
	ReflectionTint  1
	ReflectivityBase 0.5
	ReflectivityScale 0.7
	ReflectivityPower 3.0

	SpecularColor1 250 230 255
	SpecularColor2 200 200 230
	SpecularExponent1 80
	SpecularExponent2 80

End
